,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
67096,2375039,23750301,2,1966,-2,1,1,2,5,1,3,1,1,2,2,1,2018,1,1,522,220,22,1,19.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,52
67121,2379166,23791601,2,1995,-2,1,1,7,5,-2,3,6,2,6,6,1,2018,1,1,230,230,1,2,23.0,1.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,23
67134,2381853,23818501,1,1980,-2,1,1,10,5,2,3,0,0,4,1,1,2018,2,1,10,10,1,2,21.0,1.0,-2.0,-1.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,1.0,2.0,-1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,38
67138,2382183,23821802,2,1990,-2,1,1,4,5,-2,3,4,4,1,1,2,2018,1,1,530,530,22,22,27.0,1.0,-2.0,2.0,3.0,0.0,-2.0,-2.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28
67140,2382256,23822502,1,1992,-2,1,1,5,5,-2,3,4,2,2,2,3,2018,1,1,540,-1,1,18,23.0,4.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,26
67193,2388050,23880502,2,1950,-2,1,1,12,5,2,3,1,1,1,2,2,2018,1,1,1,521,22,1,17.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,2.0,2.0,-1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,68
67197,2388238,23882302,1,1975,-2,1,1,12,5,2,3,2,1,1,1,4,2018,1,1,1,521,10,1,19.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,43
67209,2389056,23890501,2,1988,-2,1,1,4,5,2,3,4,1,-1,1,4,2018,1,1,431,10,1,24,18.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,30
67239,2397768,23977601,1,1950,-2,1,1,4,5,2,3,1,1,1,1,2,2018,1,1,10,10,31,31,17.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,2.0,2.0,-1.0,3.0,-2.0,-2.0,-2.0,22.0,-2.0,-2.0,-2.0,-2.0,-2.0,68
67242,2399736,23997301,1,1963,-2,1,1,9,5,2,3,1,1,2,2,1,2018,1,1,10,220,180,1,22.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,55
67252,2401463,24014601,1,1956,-2,1,1,6,5,2,3,4,5,6,1,1,2018,1,1,540,10,31,1,26.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,62
67263,2403970,24039701,2,1987,-2,1,1,4,5,3,3,0,0,2,2,1,2018,1,1,-1,10,32,74,21.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,31
67266,2404837,24048301,1,1978,-2,1,1,2,5,2,3,1,1,4,4,2,2018,2,2,230,10,2,2,16.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,40
67268,2405027,24050202,1,2001,-2,1,1,3,7,-2,3,4,4,3,-1,1,2018,1,1,-1,-1,-2,54,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
67278,2408263,24082601,1,1965,-2,1,1,2,5,2,3,4,4,6,1,1,2018,1,1,540,421,5,1,27.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,53
67297,2411191,24111902,2,1986,-2,1,1,11,5,2,3,1,1,1,2,2,2018,2,1,220,10,1,5,18.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,3.0,2.0,-1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,32
67298,2411418,24114101,2,1985,-2,1,1,5,5,2,3,0,1,-1,2,2,2018,2,1,-1,522,1,11,18.0,1.0,-2.0,-1.0,3.0,-1.0,-2.0,-2.0,10.0,-2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,33
67308,2412082,24120801,2,1972,-2,1,1,12,5,2,3,0,1,6,2,2,2018,2,1,-1,521,1,18,16.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,46
